participant_ID,text_file,error,rater_1,rater_2
ABA1_C,./data/processed/exercises/ABA1_C_E01.txt,(submitir) [entregar] el proyecto,discrete choice,discrete choice
ABA1_C,./data/processed/exercises/ABA1_C_E02.txt,y (soy) [estoy] en la clase de español,"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
ABA1_C,./data/processed/exercises/ABA1_C_E03.txt,el (próximo) [siguiente] día de clase,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
ABA1_C,./data/processed/exercises/ABA1_C_E04.txt,(proximo) [próximo] / (dia) [día] / (despues) [después] / (ocurrio) [ocurrió],accent marking and read-aloud,"accent marking and read-aloud, prompted writing"
ABA1_C,./data/processed/exercises/ABA1_C_E05.txt,(occurió) [ocurrió] / (fonciona) [funciona] / (residence) [residencia],"text editing, prompted writing","text editing, prompted writing"
ABA1_C,./data/processed/exercises/ABA1_C_E06.txt,iba a (darnos) [ponernos] un cero,discrete choice,discrete choice
ABA1_C,./data/processed/exercises/ABA1_C_E07.txt,(tenia) [tenía] / (el) [él] debía / (esta) [está],"matching, prompted writing","matching, prompted writing"
ABA1_C,./data/processed/exercises/ABA1_C_E08.txt,hemos podido solucionar (al) [el] problema,discrete choice,discrete choice
ABA1_C,./data/processed/exercises/ABA1_C_E09.txt,su (telefona) [teléfono] estaba roto,"vocabulary extraction and list creation, translation","vocabulary extraction and list creation, translation"
ABA1_C,./data/processed/exercises/ABA1_C_E10.txt,cada persona (en) [de] mi grupo / estaba (en) [a] cargo de algo,discrete choice,"discrete choice, metalinguistic reflection"
ABA1_C,./data/processed/exercises/ABA1_C_E11.txt,pero ella (digo) [dijo],"paradigmatic systematization, metalinguistic reflection, accent marking and read-aloud","paradigmatic systematization, metalinguistic reflection, accent marking and read-aloud"
ABA1_C,./data/processed/exercises/ABA1_C_E12.txt,dos (horais) [horas] antes del vencimiento del proyecto,metalinguistic reflection,metalinguistic reflection
ABA1_C,./data/processed/exercises/ABA1_C_E13.txt,un proyecto en grupo que valía [el] 55% de la nota final,cloze,"cloze, metalinguistic reflection"
ABA1_C,./data/processed/exercises/ABA1_C_E14.txt,un proyecto en grupo que (era) [valía] el 55% de la nota final,"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
ABA1_C,./data/processed/exercises/ABA1_C_E15.txt,la profesora nos había (dado) [asignado] un proyecto en grupo,syntagmatic systematization,syntagmatic systematization
ABJ1_D,./data/processed/exercises/ABJ1_D_E01.txt,porque tenía la (oportunidad) [opción] de escribirles,"matching, metalinguistic reflection, prompted writing","matching, metalinguistic reflection, prompted writing"
ABJ1_D,./data/processed/exercises/ABJ1_D_E02.txt,(aerobics) [aeróbic],text editing,text editing
ABJ1_D,./data/processed/exercises/ABJ1_D_E03.txt,toco la flauta desde (hace) [que] tengo ocho años,"discrete choice, prompted writing","discrete choice, prompted writing"
ABJ1_D,./data/processed/exercises/ABJ1_D_E04.txt,me han ayudado mucho (para) [a] mejorar,discrete choice,discrete choice
ABJ1_D,./data/processed/exercises/ABJ1_D_E05.txt,los exámenes siempre (están) [son] evaluados por los profesores,"matching, prompted writing","matching, prompted writing"
ABJ1_D,./data/processed/exercises/ABJ1_D_E06.txt,en cuanto (en) [a] sus conocimientos lingüísticos,cloze,cloze
ABJ1_D,./data/processed/exercises/ABJ1_D_E07.txt,ver cómo la persona (se) ha mejorado en cuanto a / también los demás estudiantes [se] pueden evaluar entre ellos,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
