Lexical item;Level
ácido;B1
ácido sulfúrico;C2
áfrica;B1
águila;B1
álbum;B1
álbum de fotos;B1
álgebra;B2
ángulo;B2
ángulo recto;B2
árbitro;B1
árbol;A1
árbol centenario;C1
árbol de hoja caduca;C1
árbol de hoja perenne;C1
árbol frondoso;C1
árbol frutal;B1
árbol genealógico;C1
área;B2
área de conocimiento;B2
área de descanso;B2
área de estudio;B2
área de servicio;B1
área despoblada;C1
área protegida;B2
área urbanizada;C1
área virgen;B2
árido;C1
ático;B2
átomo;B2
época;B1
época de vacas flacas;C2
época de vacas gordas;C2
ética;C1
éxito;A2
éxito apoteósico;C2
éxito de taquilla;C1
éxodo;C2
índice;B1
índice de audiencia;C1
índice de mortalidad;B2
índice de natalidad;B2
índice de población;B2
ínfula;C2
íntegro;C1
íntimamente;C1
íntimo;B2
íntimo amigo;B2
írsele el santo al cielo;B2
írsele la inspiración;C1
úlcera;C1
óbito;C2
óleo;B2
ópera;A2
ópera prima;C2
órbita;C1
órgano;B2
órgano sensorial;B2
óvulo;C1
óxidos;C1
a bordo;C2
a brazo partido;C2
a cobro revertido;B2
a destajo;C2
a disgusto;B2
a escote;C2
a estrenar;C1
a flor de piel;C2
a fondo;C1
a franquear en destino;C2
a fuego lento;B2
a granel;C2
a gusto;C1
a hombros;B2
a la derecha;A1
a la derecha de;A1
a la izquierda;A1
a la izquierda de;A1
a la perfección;C2
a la plancha;A2
a las mil maravillas;C2
a lo grande;C1
a los cuatro vientos;C2
a máquina;B2
a mano;B2
a marchas forzadas;C2
a medias;B2
a muerte;C2
a ordenador;B2
a partes iguales;C1
a patadas;C2
a pie;A1
a su cargo;B2
a tiempo completo;A2
a tiempo parcial;A2
a tocateja;C2
a toda pastilla;C2
a toda plana;C2
a todo gas;C2
a todo volumen;C2
a vuelta de correo;C2
año lectivo;B2
año luz;C1
año sabático;C1
abandonar;B1
abandonar los estudios;B2
abandono;C2
abarrotado;C2
abastecedor;C2
abastecer;C2
abastecer de corriente eléctrica;C2
abastecer de gas;C2
abastecer gas;C2
abastecimiento;C1
abastecimiento de agua;C1
abastecimiento de electricidad;C1
abastecimiento de gas;C1
abdominales;B1
abeja;B1
abiertamente;B2
abierto;A2
