"rater_1_category","accent marking and read-aloud","accent marking and read-aloud, prompted writing","cloze","cloze, metalinguistic reflection","cloze, metalinguistic reflection, prompted writing","cloze, paradigmatic systematization","cloze, prompted writing","cloze, text editing","cloze, translation","cloze, translation, metalinguistic reflection","discrete choice","discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection, prompted writing","discrete choice, prompted writing","discrete choice, sentence reconstruction","discrete choice, text editing","discrete choice, translation","discrete choice, translation, metalinguistic reflection","discrete choice, translation, prompted writing","matching","matching, cloze","matching, cloze, metalinguistic reflection","matching, cloze, prompted writing","matching, discrete choice","matching, discrete choice, metalinguistic reflection","matching, discrete choice, prompted writing","matching, metalinguistic reflection","matching, metalinguistic reflection, discrete choice","matching, metalinguistic reflection, prompted writing","matching, metalinguistic reflection, translation","matching, paradigmatic systematization","matching, prompted writing","matching, prompted writing, metalinguistic reflection","matching, sentence reconstruction","metalinguistic reflection","metalinguistic reflection, cloze","metalinguistic reflection, matching, prompted writing","metalinguistic reflection, paradigmatic systematization, prompted writing","metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing, translation","metalinguistic reflection, text editing","metalinguistic reflection, text editing, prompted writing","metalinguistic reflection, translation","metalinguistic reflection, translation, text editing","metalinguistic reflection, vocabulary extraction and list creation","paradigmatic systematization","paradigmatic systematization, cloze","paradigmatic systematization, metalinguistic reflection","paradigmatic systematization, metalinguistic reflection, accent marking and read-aloud","paradigmatic systematization, prompted writing","paradigmatic systematization, sentence reconstruction","paradigmatic systematization, text editing","paradigmatic systematization, translation","prompted writing","prompted writing, metalinguistic reflection","sentence reconstruction","sentence reconstruction, cloze","sentence reconstruction, metalinguistic reflection","sentence reconstruction, prompted writing","sentence reconstruction, text editing","syntagmatic systematization","syntagmatic systematization, metalinguistic reflection","syntagmatic systematization, prompted writing","text editing","text editing, metalinguistic reflection","text editing, prompted writing","translation","translation, metalinguistic reflection","translation, metalinguistic reflection, prompted writing","translation, prompted writing","vocabulary extraction and list creation","vocabulary extraction and list creation, translation"
"accent marking and read-aloud",45,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"accent marking and read-aloud, prompted writing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cloze",0,0,128,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
"cloze, metalinguistic reflection",0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cloze, metalinguistic reflection, prompted writing",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cloze, paradigmatic systematization",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cloze, prompted writing",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cloze, text editing",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cloze, translation",0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cloze, translation, metalinguistic reflection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
